id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
66,KB-PR-66,100-100000059WOF,Kabum,"Processador AMD Ryzen 9 5950X, Cache 72MB, 3.4GHz (4.9GHz Max Turbo), AM4 - 100-100000059WOF",Amd,Ryzen 9 5950X,72MB,3.4GHz (4.9GHz Max Turbo),AM4
67,KB-PR-67,FD6300WMHKBOX,Kabum,"Processador AMD FX 6300 Black, Cache 14MB, 3.5GHz (4.1GHz Max Turbo), AM3+ - FD6300WMHKBOX",Amd,FX 6300 Black,14MB,3.5GHz (4.1GHz Max Turbo),AM3
68,KB-PR-68,AD540KOKHJBOX,Kabum,Processador AMD APU A6 5400K 3.6Ghz Black Edition AD540KOKHJBOX,Amd,APU A6 5400K Black Edition,NaN,3.6Ghz ,NaN
69,KB-PR-69,AD7480ACABBOX,Kabum,"Processador AMD A6-7480 Dual Core, Cache 1MB, 3.8Ghz, FM2+ - AD7480ACABBOX",Amd,A6-7480 Dual Core,1MB,3.8Ghz,FM2
70,KB-PR-70,YD150XBBAEBOX,Kabum,"Processador AMD Ryzen 5 1500X c/ Wraith Spire, Quad Core, Cache 18MB, 3.5GHz (Max Turbo 3.7GHz) AM4 - YD150XBBAEBOX",Amd,Ryzen 5 1500X,18MB,3.5GHz (Max Turbo 3.7GHz),AM4
71,KB-PR-71,100-100000284BOX,Kabum,"Processador AMD Ryzen 3 3100, Cache 18MB, 3.9Ghz, AM4 - 100-100000284BOX",Amd,Ryzen 3 3100,18MB,3.9Ghz,AM4
72,KB-PR-72,YD195XA8AEWOF,Kabum,"Processador AMD Ryzen Threadripper 1950X, Hexadeca-Core, Cache 40MB, 3.4GHz (4GHz Max Turbo), TR4 - YD195XA8AEWOF",Amd,Ryzen Threadripper 1950X,40MB,3.4GHz (4GHz Max Turbo),TR4
73,KB-PR-73,FD8350FRHKBOX,Kabum,"Processador AMD FX-8350 Vishera, Cache 16MB, 4.0GHz (4.2Ghz Max Turbo) AM3 FD8350FRHKBOX",Amd,FX-8350 Vishera,16MB,4.0GHz (4.2Ghz Max Turbo),AM3
74,KB-PR-74,YD1600BBAEBOX,Kabum,"Processador AMD Ryzen 5 1600, Cooler Wraith Spire, Cache 19MB, 3.2GHz (3.6GHz Max Turbo), AM4, Sem Vídeo - YD1600BBAEBOX",Amd,Ryzen 5 1600,19MB,3.2GHz (3.6GHz Max Turbo),AM4
75,KB-PR-75,YD2600BBAFBOX,Kabum,"Processador AMD Ryzen 5 2600, Cooler Wraith Stealth, Cache 19MB, 3.4GHz (3.9GHz Max Turbo), AM4, Sem Vídeo - YD2600BBAFBOX",Amd,Ryzen 5 2600,19MB,3.4GHz (3.9GHz Max Turbo),AM4
76,KB-PR-76,BX80646I74770K,Kabum,"Processador Intel Core i7-4770K 3.5Ghz, 8MB, LGA 1150 c/ Intel HD Graphics (4ª Geração) - BX80646I74770K",Intel,Core i7-4770K,8MB,3.5Ghz,LGA 1150
77,KB-PR-77,BX80701G6400,Kabum,"Processador Intel Pentium Gold G6400 Processor, Cache 4MB, 4.00 GHz - BX80701G6400",Intel,Pentium Gold G6400 Processor,4MB,4.00 GHz ,NaN
78,KB-PR-78,BX80662I76700K,Kabum,"Processador Intel Core i7-6700K, Cache 8MB, Skylake 6a Geração, Quad-Core 4.0GHz LGA 1151 BX80662I76700K",Intel,Core i7-6700K,8MB,4.0GHz,LGA 1151
79,KB-PR-79,BX80684I38100,Kabum,"Processador Intel Core i3-8100 Coffee Lake, Cache 6MB, 3.6GHz, LGA 1151 - BX80684I38100",Intel,Core i3-8100 Coffee Lake,6MB,3.6GHz,LGA 1151
