id,code,sku,site,descricao,marca,potencia
130,KB-FT-130,CP-9020139,Kabum,Fonte Corsair 1000W 80 Plus Platinum Modular HX1000 - CP-9020139,Corsair,1000W
131,KB-FT-131,CP-9020137-WW,Kabum,Fonte Corsair 750W 80 Plus Platinum Modular HX750 - CP-9020137-WW,Corsair,750W
132,KB-FT-132,CP-9020105-NA,Kabum,"Fonte Corsair SF Series, 600W, 80 Plus Gold, Modular - CP-9020105-NA",Corsair,600W
133,KB-FT-133,CP-9020087,Kabum,"Fonte Corsair 1600W 80 Plus Titanium Modular, AX1600i - CP-9020087",Corsair,1600W
134,KB-FT-134,CP-9020151-WW,Kabum,"Fonte Corsair AX Series AX850, 850W, 80 Plus Titanium, Modular - CP-9020151-WW",Corsair,850W
135,KB-FT-135,CP-9020170-BR,Kabum,Fonte Corsair 450W 80 Plus White VS450 - CP-9020170-BR,Corsair,450W
136,KB-FT-136,CP-9020103,Kabum,Fonte Corsair 650W 80 Plus Bronze Semi Modular CX650M - CP-9020103,Corsair,650W
137,KB-FT-137,CP-9020061,Kabum,Fonte Corsair 750W 80 Plus Bronze Semi Modular CX750M - CP-9020061,Corsair,750W
138,KB-FT-138,CP-9020133,Kabum,Fonte Corsair 550W 80 Plus Gold Semi Modular TX550M - CP-9020133,Corsair,550W
139,KB-FT-139,CP-9020152,Kabum,"Fonte Corsair AX Series AX1000, 1000W, 80 Plus Titanium, Modular - CP-9020152",Corsair,1000W
140,KB-FT-140,CP-9020101,Kabum,Fonte Corsair 450W 80 Plus Bronze Semi Modular CX450M - CP-9020101,Corsair,450W
141,KB-FT-141,CP-9020196,Kabum,"Fonte Corsair RM850, 850W, 80 Plus Gold, Modular - CP-9020196",Corsair,850W
142,KB-FT-142,CP-9020072-WW,Kabum,Fonte Corsair 750W 80 Plus Platinum Modular HX750i - CP-9020072-WW,Corsair,750W
143,KB-FT-143,CP-9020187-WW,Kabum,"Fonte Corsair RMX White Series, 750W, 80 Plus Gold, Modular, Branca - CP-9020187-WW",Corsair,750W
144,KB-FT-144,CP-9020172,Kabum,Fonte Corsair 650W 80 Plus White VS650 - CP-9020172,Corsair,650W
145,KB-FT-145,CP-9020171,Kabum,Fonte Corsair 550W 80 Plus White VS550 - CP-9020171,Corsair,550W
146,KB-FT-146,CP-9020140,Kabum,Fonte Corsair 1200W 80 Plus Platinum Modular HX1200 - CP-9020140,Corsair,1200W
147,KB-FT-147,CP-9020105-WW,Kabum,Fonte Corsair 600W SF600 Gold CP-9020105-WW,Corsair,600W
148,KB-FT-148,CP-9020138,Kabum,Fonte Corsair 850W 80 Plus Platinum Modular HX850 - CP-9020138,Corsair,850W
149,KB-FT-149,CP-9020194,Kabum,"Fonte Corsair RM650, 650W, 80 Plus Gold, Modular - CP-9020194",Corsair,650W
150,KB-FT-150,CP-9020132,Kabum,Fonte Corsair 650W 80 Plus Gold Semi Modular TX650M CP-9020132,Corsair,650W
151,KB-FT-151,CP-9020102,Kabum,Fonte Corsair 550W 80 Plus Bronze Semi Modular CX550M - CP-9020102,Corsair,550W
152,KB-FT-152,CP-9020195,Kabum,"Fonte Corsair RM750, 750W, 80 Plus Gold, Modular - CP-9020195",Corsair,750W
153,KB-FT-153,CP-9020179,Kabum,Fonte Corsair 750W 80 Plus Gold Modular RMx- CP-9020179,Corsair,750W
154,KB-FT-154,CP-9020186-NA,Kabum,"Fonte Corsair SF Series, 750W, 80 Plus Platinum, Modular - CP-9020186-NA",Corsair,750W
155,KB-FT-155,CP-9020073-WW,Kabum,Fonte Corsair 850W 80 Plus Platinum Modular HX850i - CP-9020073-WW,Corsair,850W
156,KB-FT-156,31GE085008P01,Kabum,"Fonte Cougar GEX 850W, 80 Plus Gold, Totalmente Modular - 31GE085008P01",Cougar,850W
157,KB-FT-157,DA500,Kabum,Fonte Deepcool 500W DA500,Deepcool,500W
158,KB-FT-158,DA600,Kabum,"Fonte Deepcool 600W, 80 Plus Bronze - DA600",Deepcool,600W
159,KB-FT-159,FT700WEP,Kabum,Fonte Epic Power 700W - FT700WEP,Epic Power,700W
160,KB-FT-160,100-N1-0750-L,Kabum,Fonte EVGA 750W 100-N1-0750-L,Evga,750W
161,KB-FT-161,210-GQ-0650-V,Kabum,Fonte EVGA 650W 80 Plus Gold Semi Modular Modo ECO - 210-GQ-0650-V,Evga,650W
162,KB-FT-162,120-G2-1300-X,Kabum,Fonte EVGA 1300W 80 Plus Gold Modular SuperNova 120-G2-1300-X,Evga,1300W
163,KB-FT-163,62849,Kabum,Fonte Fortrek 200W sem Cabo - 62849,Fortrek,200W
164,KB-FT-164,GP400A,Kabum,"Fonte Gamer Gamemax 400W, 80 Plus Bronze - GP400A",Gamemax,400W
